R_hand : x,R_hand : y,R_hand : z,R_thumb : x,R_thumb : y,R_thumb : z,R_index : x,R_index : y,R_index : zx,R_middle : x,R_middle : y,R_middle : z,R_ring : x,R_ring : y,R_ring : z,R_pinky : x,R_pinky : y,R_pinky : z,R_hand_vec : x,R_hand_vec : y,R_hand_vec : z,R_fin_to_fin :x,R_fin_to_fin :y,R_fin_to_fin :z,R_dis_thumb,R_dis_index,R_dis_middle,R_dis_ring,R_dis_pinky,L_hand : x,L_hand : y,L_hand : z,L_thumb : x,L_thumb : y,L_thumb : z,L_index : x,L_index : y,L_index : zx,L_middle : x,L_middle : y,L_middle : z,L_ring : x,L_ring : y,L_ring : z,L_pinky : x,L_pinky : y,L_pinky : z,L_hand_vec : x,L_hand_vec : y,L_hand_vec : z,L_fin_to_fin :x,L_fin_to_fin :y,L_fin_to_fin :z,L_dis_thumb,L_dis_index,L_dis_middle,L_dis_ring,L_dis_pinky
82.46071,235.4842,100.2961,13.68072,246.7844,80.84003,-41.22903,38.37358,-77.19719,-10.36674,47.33525,-87.52084,14.37033,43.34959,-80.89198,42.92636,29.06245,-63.3478,-0.1508955,-0.7761095,-0.6122782,30.86229,8.96167,-10.32366,260.0477,95.5603,100.04,92.89352,81.85501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.44661,248.4408,78.5945,3.678669,258.0203,61.59832,-43.70599,38.65779,-76.18321,-12.06066,47.73112,-87.22767,13.36066,44.71858,-80.66691,42.09987,30.25014,-63.68927,-0.1287589,-0.7812491,-0.6107954,31.64533,9.073334,-11.04446,265.2967,95.96104,100.1618,93.19554,82.1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.12755,251.8743,71.69645,0.7821343,260.8986,55.37002,-44.21732,38.43623,-76.14957,-12.37493,47.49315,-87.3479,13.48982,45.40379,-80.45231,42.15824,30.61501,-63.64371,-0.1175082,-0.7845688,-0.6088051,31.84239,9.056915,-11.19833,266.7105,96.07951,100.1918,93.35981,82.25034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.16296,254.6415,65.22433,-1.748904,263.5638,49.56837,-44.3248,38.46263,-76.22213,-12.22095,47.4001,-87.46078,14.04004,46.17403,-80.09891,42.50775,30.84615,-63.44739,-0.1074062,-0.7866563,-0.6079768,32.10385,8.937469,-11.23865,268.1902,96.19706,100.2273,93.51469,82.36483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.4589,255.4468,62.93671,-2.69213,264.6588,47.75895,-44.35926,38.48514,-76.24039,-12.11123,47.35419,-87.52519,14.33866,46.44867,-79.97821,42.76382,30.75146,-63.4326,-0.1070946,-0.7876744,-0.6067123,32.24803,8.869049,-11.28481,268.947,96.23641,100.2485,93.59268,82.45054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.66673,256.5201,58.98749,-3.774915,265.6419,44.3064,-44.6556,38.4028,-76.23392,-12.15078,47.2446,-87.634,14.51078,46.84482,-79.84589,42.83091,30.77185,-63.47718,-0.101514,-0.7902537,-0.6043128,32.50483,8.841797,-11.40007,269.338,96.3354,100.2966,93.70361,82.52724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.92656,257.4063,55.53138,-4.662097,266.488,41.15632,-44.82845,37.72641,-76.57974,-12.13039,46.34195,-88.1567,14.71706,46.52972,-80.10692,43.00738,30.246,-63.72675,-0.09688266,-0.797455,-0.5955496,32.69807,8.61554,-11.57696,269.6877,96.42266,100.3311,93.80152,82.61691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.20315,257.6869,52.45152,-5.443299,267.4708,38.58784,-44.89127,38.23532,-76.4208,-11.91553,46.3259,-88.25218,14.84917,46.28513,-80.2532,43.23854,29.79581,-63.89137,-0.1025424,-0.7990636,-0.5924377,32.97575,8.090576,-11.83138,270.2948,96.52618,100.3819,93.82637,82.70108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.63988,257.7706,50.28218,-6.032476,268.0416,36.71635,-44.85935,38.76501,-76.26436,-11.4107,47.01855,-88.06639,15.00112,46.31442,-80.23158,43.41405,29.61636,-63.91621,-0.1059914,-0.7987792,-0.5922142,33.44865,8.25354,-11.80204,270.6119,96.59886,100.482,93.8465,82.74776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.27293,258.3912,46.29204,-7.744937,269.5856,33.5493,-44.5271,39.9137,-75.97026,-10.72089,47.97537,-87.70525,15.63287,47.15964,-79.70895,44.07677,29.88092,-63.51565,-0.1081189,-0.7945957,-0.5974345,33.80621,8.061676,-11.73498,271.7755,96.68116,100.5424,93.92516,82.88467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.55276,258.5279,44.72276,-8.718925,270.0622,32.56886,-44.54257,40.90286,-75.56915,-10.54115,48.55649,-87.45781,15.69362,47.5759,-79.47994,44.43442,30.22061,-63.28058,-0.1081222,-0.7923932,-0.6003521,34.00143,7.653625,-11.88866,272.1586,96.78729,100.5869,93.95114,83.01888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.83822,258.5596,43.3125,-9.672606,270.0495,31.75172,-44.91957,40.83203,-75.45256,-10.88934,48.34488,-87.56247,15.38641,47.55212,-79.60597,44.36076,30.20618,-63.45587,-0.1076315,-0.7948398,-0.5971978,34.03023,7.512848,-12.10991,272.0817,96.84065,100.6131,93.99498,83.10799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.37215,258.5939,42.51022,-10.26231,269.9524,31.18418,-45.13385,40.66107,-75.44998,-11.11698,48.05905,-87.69893,15.19716,47.40259,-79.75487,44.32326,30.15585,-63.57405,-0.1070201,-0.7970403,-0.594368,34.01688,7.39798,-12.24895,271.9413,96.86634,100.6199,94.01488,83.16001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.34085,258.3468,40.96563,-11.4843,269.7386,30.09058,-45.37793,40.37552,-75.52032,-11.32132,47.4332,-88.03691,14.94681,46.79391,-80.17552,44.56015,29.95319,-63.72676,-0.1086903,-0.8019574,-0.5874102,34.05662,7.057678,-12.51658,271.6547,96.91573,100.6408,94.02761,83.33007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.28119,258.0091,39.67381,-12.66811,269.6166,29.11782,-45.41204,40.11255,-75.68073,-11.18335,47.03699,-88.30899,14.95971,46.24338,-80.51778,44.78688,29.54822,-63.89552,-0.1111265,-0.8061455,-0.5811888,34.2287,6.924438,-12.62826,271.4801,96.94763,100.6778,94.04975,83.4362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.28119,258.0091,39.67381,-12.66811,269.6166,29.11782,-45.41204,40.11255,-75.68073,-11.18335,47.03699,-88.30899,14.95971,46.24338,-80.51778,44.78688,29.54822,-63.89552,-0.1111265,-0.8061455,-0.5811888,34.2287,6.924438,-12.62826,271.4801,96.94763,100.6778,94.04975,83.4362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
